자치구,동,합계,주거,주거,주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,"운송(차량, 철도 등)",임야,기타
자치구,동,합계,단독주택,공동주택,기타주택,학교,일반업무,판매시설,숙박시설,종교시설,의료시설,공장 및 창고,작업장,위락오락시설,음식점,일반서비스시설,기타,"운송(차량, 철도 등)",임야,기타
중랑구,면목5동,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
중랑구,면목7동,8,2,2,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-
중랑구,상봉1동,11,1,5,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,1
중랑구,상봉2동,15,1,-,-,-,1,-,1,-,-,-,1,1,5,-,1,2,-,2
중랑구,중화1동,7,2,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-
중랑구,중화2동,25,8,4,-,-,-,1,-,-,-,1,1,1,1,-,2,5,-,1
중랑구,묵1동,13,6,3,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,2
중랑구,묵2동,5,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-
중랑구,망우3동,9,4,-,-,-,1,-,-,-,-,-,1,-,2,-,1,-,-,-
중랑구,신내1동,12,1,3,-,-,-,-,-,-,-,-,2,-,3,-,1,2,-,-
중랑구,신내2동,3,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
중랑구,면목본동,11,3,1,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,3
중랑구,면목3.8동,11,7,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-
중랑구,망우본동,25,6,5,-,-,-,-,1,-,-,-,2,-,2,1,1,3,2,2
성북구,소계,151,43,27,2,6,2,3,-,1,-,1,1,6,10,3,6,15,1,24
성북구,돈암1동,4,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1
성북구,돈암2동,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
성북구,안암동,6,3,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-
성북구,보문동,4,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
성북구,정릉1동,6,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
성북구,정릉2동,7,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
성북구,정릉3동,8,3,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1
성북구,정릉4동,6,-,3,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-
성북구,길음1동,7,-,2,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,1
성북구,길음2동,8,5,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
성북구,월곡1동,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
성북구,월곡2동,6,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
성북구,장위1동,11,5,1,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1
성북구,장위2동,7,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,2
성북구,장위3동,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
성북구,성북동,9,3,-,1,-,1,-,-,-,-,-,-,-,2,-,-,-,-,2
성북구,삼선동,9,1,2,-,1,-,-,-,-,-,-,1,-,3,-,-,1,-,-
성북구,동선동,16,3,3,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,6
성북구,종암동,14,2,2,-,-,1,2,-,-,-,-,-,1,-,-,-,3,-,3
성북구,석관동,10,3,1,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,2
강북구,소계,178,55,39,-,1,6,2,-,1,2,1,1,6,17,12,9,13,3,10
강북구,번1동,22,11,2,-,-,2,1,-,-,-,-,-,-,2,1,-,1,-,2
강북구,번2동,7,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-
강북구,번3동,7,-,4,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-
강북구,수유1동,15,3,1,-,-,-,-,-,-,-,-,-,-,2,3,2,3,-,1
